2024/03/18 11:57:03 [error] 30#30: *6 connect() failed (111: Connection refused) while connecting to upstream, client: 172.17.0.1, server: 127.0.0.1, request: "POST /app-api/member/auth/login HTTP/1.1", upstream: "http://127.0.0.1:48080/app-api/member/auth/login", host: "127.0.0.1", referrer: "http://127.0.0.1/login"
2024/03/19 14:28:10 [error] 22#22: *896 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 172.17.0.1, server: 127.0.0.1, request: "POST /app-api/member/order/createOrder HTTP/1.1", upstream: "http://192.168.1.54:48089/app-api/member/order/createOrder", host: "192.168.1.54", referrer: "http://192.168.1.54/home"
2024/03/19 14:38:41 [error] 22#22: *938 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 172.17.0.1, server: 127.0.0.1, request: "GET /app-api/member/user/pageAssetDetails?pageNo=1&pageSize=10&tradeType= HTTP/1.1", upstream: "http://192.168.1.54:48089/app-api/member/user/pageAssetDetails?pageNo=1&pageSize=10&tradeType=", host: "192.168.1.54", referrer: "http://192.168.1.54/AssetDetails"
2024/03/20 11:31:36 [error] 22#22: *133 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 172.17.0.1, server: 127.0.0.1, request: "POST /app-api/member/user/placement HTTP/1.1", upstream: "http://192.168.1.54:48089/app-api/member/user/placement", host: "192.168.1.54", referrer: "http://192.168.1.54/invite"
2024/03/20 11:55:19 [error] 22#22: *240 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 172.17.0.1, server: 127.0.0.1, request: "POST /app-api/member/user/placement HTTP/1.1", upstream: "http://192.168.1.54:48089/app-api/member/user/placement", host: "192.168.1.54", referrer: "http://192.168.1.54/invite"
2024/03/20 11:55:19 [error] 22#22: *242 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 172.17.0.1, server: 127.0.0.1, request: "POST /app-api/member/user/placement HTTP/1.1", upstream: "http://192.168.1.54:48089/app-api/member/user/placement", host: "192.168.1.54", referrer: "http://192.168.1.54/invite"
2024/03/20 11:55:19 [error] 22#22: *244 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 172.17.0.1, server: 127.0.0.1, request: "POST /app-api/member/user/placement HTTP/1.1", upstream: "http://192.168.1.54:48089/app-api/member/user/placement", host: "192.168.1.54", referrer: "http://192.168.1.54/invite"
2024/03/20 11:55:20 [error] 22#22: *248 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 172.17.0.1, server: 127.0.0.1, request: "POST /app-api/member/user/placement HTTP/1.1", upstream: "http://192.168.1.54:48089/app-api/member/user/placement", host: "192.168.1.54", referrer: "http://192.168.1.54/invite"
2024/03/20 12:02:52 [error] 22#22: *271 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 172.17.0.1, server: 127.0.0.1, request: "POST /app-api/member/user/placement HTTP/1.1", upstream: "http://192.168.1.54:48089/app-api/member/user/placement", host: "192.168.1.54", referrer: "http://192.168.1.54/invite"
2024/03/20 16:20:06 [error] 22#22: *402 connect() failed (111: Connection refused) while connecting to upstream, client: 172.17.0.1, server: 127.0.0.1, request: "GET /app-api/member/user/inviteFriend HTTP/1.1", upstream: "http://192.168.1.54:48089/app-api/member/user/inviteFriend", host: "192.168.1.54", referrer: "http://192.168.1.54/invite"
2024/03/20 16:20:09 [error] 22#22: *402 connect() failed (111: Connection refused) while connecting to upstream, client: 172.17.0.1, server: 127.0.0.1, request: "GET /app-api/member/user/inviteFriend HTTP/1.1", upstream: "http://192.168.1.54:48089/app-api/member/user/inviteFriend", host: "192.168.1.54", referrer: "http://192.168.1.54/invite"
2024/03/20 16:20:09 [error] 22#22: *403 connect() failed (111: Connection refused) while connecting to upstream, client: 172.17.0.1, server: 127.0.0.1, request: "GET /app-api/member/user/info?userId=134 HTTP/1.1", upstream: "http://192.168.1.54:48089/app-api/member/user/info?userId=134", host: "192.168.1.54", referrer: "http://192.168.1.54/my"
2024/03/21 12:07:29 [error] 22#22: *685 connect() failed (111: Connection refused) while connecting to upstream, client: 172.17.0.1, server: 127.0.0.1, request: "POST /app-api/member/auth/logout HTTP/1.1", upstream: "http://192.168.1.54:48089/app-api/member/auth/logout", host: "192.168.1.54", referrer: "http://192.168.1.54/my"
2024/03/21 12:07:31 [error] 22#22: *685 connect() failed (111: Connection refused) while connecting to upstream, client: 172.17.0.1, server: 127.0.0.1, request: "POST /app-api/member/auth/logout HTTP/1.1", upstream: "http://192.168.1.54:48089/app-api/member/auth/logout", host: "192.168.1.54", referrer: "http://192.168.1.54/my"
2024/03/21 12:07:32 [error] 22#22: *688 connect() failed (111: Connection refused) while connecting to upstream, client: 172.17.0.1, server: 127.0.0.1, request: "POST /app-api/member/auth/logout HTTP/1.1", upstream: "http://192.168.1.54:48089/app-api/member/auth/logout", host: "192.168.1.54", referrer: "http://192.168.1.54/my"
2024/03/21 12:07:32 [error] 22#22: *690 connect() failed (111: Connection refused) while connecting to upstream, client: 172.17.0.1, server: 127.0.0.1, request: "POST /app-api/member/auth/logout HTTP/1.1", upstream: "http://192.168.1.54:48089/app-api/member/auth/logout", host: "192.168.1.54", referrer: "http://192.168.1.54/my"
2024/03/21 12:07:33 [error] 22#22: *692 connect() failed (111: Connection refused) while connecting to upstream, client: 172.17.0.1, server: 127.0.0.1, request: "POST /app-api/member/auth/logout HTTP/1.1", upstream: "http://192.168.1.54:48089/app-api/member/auth/logout", host: "192.168.1.54", referrer: "http://192.168.1.54/my"
2024/03/21 17:40:14 [error] 22#22: *26 connect() failed (111: Connection refused) while connecting to upstream, client: 172.17.0.1, server: 127.0.0.1, request: "GET /app-api/member/user/pageAssetDetails?pageNo=1&pageSize=10&tradeType= HTTP/1.1", upstream: "http://192.168.1.54:48089/app-api/member/user/pageAssetDetails?pageNo=1&pageSize=10&tradeType=", host: "192.168.1.54", referrer: "http://192.168.1.54/AssetDetails"
